"Dispatch Number","Dispatch Date","Source Store","Destination Store",Status,"Product Name",Category,Vendor,Barcode,"Unit Price",Quantity
DSP-20260304-B4D283,"2026-03-04 16:07:03",SHOWROOM,OFFICE,Delivered,"JAMDANI 3PIECE - TA1-44",,"TA1--TANGAIL SAREE HOUSE",N/A,"1,850.00",1
DSP-20260304-951F26,"2026-03-04 16:04:34",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-18",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260304-951F26,"2026-03-04 16:04:34",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-18",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260304-951F26,"2026-03-04 16:04:34",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-18",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260304-0D64CC,"2026-03-04 15:48:49",SHOWROOM,OFFICE,Delivered,"HATER KAJER 3PIECE - NU1-40",,NU1--NURJAHAN,N/A,"1,650.00",1
DSP-20260304-1EE581,"2026-03-04 15:48:00",OFFICE,SHOWROOM,Delivered,"HATER KAJER 3PIECE - NU1-40",,NU1--NURJAHAN,N/A,"1,650.00",1
DSP-20260304-EE7706,"2026-03-04 15:30:01",OFFICE,SHOWROOM,Delivered,"Hater Kajer Blousepiece - DE1-1",,"DE1--DESHIO FACTORY",N/A,450.00,1
DSP-20260304-EE7706,"2026-03-04 15:30:01",OFFICE,SHOWROOM,Delivered,"Hater Kajer Blousepiece - DE1-1",,"DE1--DESHIO FACTORY",N/A,450.00,1
DSP-20260304-EE7706,"2026-03-04 15:30:01",OFFICE,SHOWROOM,Delivered,"Hater Kajer Blousepiece - DE1-2",,"DE1--DESHIO FACTORY",N/A,450.00,1
DSP-20260304-EE7706,"2026-03-04 15:30:01",OFFICE,SHOWROOM,Delivered,"Hater Kajer Blousepiece - DE1-2",,"DE1--DESHIO FACTORY",N/A,450.00,1
DSP-20260304-EE7706,"2026-03-04 15:30:01",OFFICE,SHOWROOM,Delivered,"Hater Kajer Blousepiece - DE1-4",,"DE1--DESHIO FACTORY",N/A,450.00,1
DSP-20260304-EE7706,"2026-03-04 15:30:01",OFFICE,SHOWROOM,Delivered,"Hater Kajer Blousepiece - DE1-4",,"DE1--DESHIO FACTORY",N/A,450.00,1
DSP-20260304-EE7706,"2026-03-04 15:30:01",OFFICE,SHOWROOM,Delivered,"Hater Kajer Blousepiece - DE1-6",,"DE1--DESHIO FACTORY",N/A,450.00,1
DSP-20260304-EE7706,"2026-03-04 15:30:01",OFFICE,SHOWROOM,Delivered,"Hater Kajer Blousepiece - DE1-6",,"DE1--DESHIO FACTORY",N/A,450.00,1
DSP-20260304-EE7706,"2026-03-04 15:30:01",OFFICE,SHOWROOM,Delivered,"Hater Kajer Blousepiece - DE1-5",,"DE1--DESHIO FACTORY",N/A,450.00,1
DSP-20260304-EE7706,"2026-03-04 15:30:01",OFFICE,SHOWROOM,Delivered,"Hater Kajer Blousepiece - DE1-5",,"DE1--DESHIO FACTORY",N/A,450.00,1
DSP-20260304-EE7706,"2026-03-04 15:30:01",OFFICE,SHOWROOM,Delivered,"Hater Kajer Blousepiece - DE1-3",,"DE1--DESHIO FACTORY",N/A,450.00,1
DSP-20260304-EE7706,"2026-03-04 15:30:01",OFFICE,SHOWROOM,Delivered,"Hater Kajer Blousepiece - DE1-3",,"DE1--DESHIO FACTORY",N/A,450.00,1
DSP-20260304-E51DCC,"2026-03-04 15:16:08",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK BLOUSE PIECE - DE1-29",,"DE1--DESHIO FACTORY",N/A,300.00,1
DSP-20260304-E51DCC,"2026-03-04 15:16:08",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK BLOUSE PIECE - DE1-29",,"DE1--DESHIO FACTORY",N/A,300.00,1
DSP-20260304-D02156,"2026-03-04 15:15:00",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK BLOUSE PIECE - DE1-30",,"DE1--DESHIO FACTORY",N/A,300.00,1
DSP-20260304-D02156,"2026-03-04 15:15:00",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK BLOUSE PIECE - DE1-30",,"DE1--DESHIO FACTORY",N/A,300.00,1
DSP-20260304-62DB85,"2026-03-04 15:08:25",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK BLOUSE PIECE - DE1-25",,"DE1--DESHIO FACTORY",N/A,300.00,1
DSP-20260304-384E4B,"2026-03-04 15:06:00",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK BLOUSE PIECE - DE1-25",,"DE1--DESHIO FACTORY",N/A,300.00,1
DSP-20260304-9DB95A,"2026-03-04 14:55:03",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-37",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260304-9DB95A,"2026-03-04 14:55:03",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-21",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260304-4D3857,"2026-03-04 14:51:59",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-18",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260304-4D3857,"2026-03-04 14:51:59",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-28",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260304-5F12CA,"2026-03-04 14:48:23",OFFICE,SHOWROOM,Delivered,"JAMDANI 3PIECE - TA1-27",,"TA1--TANGAIL SAREE HOUSE",N/A,"2,250.00",1
DSP-20260304-5F12CA,"2026-03-04 14:48:23",OFFICE,SHOWROOM,Delivered,"JAMDANI 3PIECE - TA-24",,"TA1--TANGAIL SAREE HOUSE",N/A,"2,250.00",1
DSP-20260304-7CA7E3,"2026-03-04 14:34:01",OFFICE,SHOWROOM,Delivered,"JAMDANI SAREE - SU1-119",,"SU1--SUHAIB JAMDANI HOUSE",N/A,"6,800.00",1
DSP-20260304-2E5360,"2026-03-04 14:26:10",SHOWROOM,OFFICE,Delivered,"MONIPURI SAREE  - AN1-4",,"AN1--ANIS FACTORY",N/A,"1,550.00",1
DSP-20260304-2E5360,"2026-03-04 14:26:10",SHOWROOM,OFFICE,Delivered,"MONIPURI SAREE  - AN1-4",,"AN1--ANIS FACTORY",N/A,"1,550.00",1
DSP-20260304-3324A2,"2026-03-04 14:20:41",OFFICE,SHOWROOM,Delivered,"CRINKEL HIJAB - DE1-5",,"DE1--DESHIO FACTORY",N/A,400.00,1
DSP-20260304-9EE6A2,"2026-03-04 14:17:11",SHOWROOM,OFFICE,Delivered,"MONIPURI SAREE - AN1-42",,"AN1--ANIS FACTORY",N/A,"1,550.00",1
DSP-20260304-CC6E60,"2026-03-04 14:07:36",OFFICE,SHOWROOM,Delivered,"SILK BATIK 3PIECE - NU1-24",,NU1--NURJAHAN,N/A,"1,450.00",1
DSP-20260304-CC6E60,"2026-03-04 14:07:36",OFFICE,SHOWROOM,Delivered,"SILK BATIK 3PIECE - NU1-29",,NU1--NURJAHAN,N/A,"1,450.00",1
DSP-20260304-8EC33C,"2026-03-04 14:06:11",OFFICE,SHOWROOM,Delivered,"SILK BATIK 3PIECE - NU1-22",,NU1--NURJAHAN,N/A,"1,450.00",1
DSP-20260304-8EC33C,"2026-03-04 14:06:11",OFFICE,SHOWROOM,Delivered,"SILK BATIK 3PIECE - NU1-30",,NU1--NURJAHAN,N/A,"1,450.00",1
DSP-20260304-EB5914,"2026-03-04 14:03:53",OFFICE,SHOWROOM,Delivered,"SILK BATIK 3PIECE - NU1-32",,NU1--NURJAHAN,N/A,"1,450.00",1
DSP-20260304-EB5914,"2026-03-04 14:03:53",OFFICE,SHOWROOM,Delivered,"SILK BATIK 3PIECE - NU1-29",,NU1--NURJAHAN,N/A,"1,450.00",1
DSP-20260304-5A315E,"2026-03-04 14:01:21",OFFICE,SHOWROOM,Delivered,"SILK BATIK 3PIECE - NU1-2",,NU1--NURJAHAN,N/A,"1,450.00",1
DSP-20260304-5A315E,"2026-03-04 14:01:21",OFFICE,SHOWROOM,Delivered,"SILK BATIK 3PIECE - NU1-25",,NU1--NURJAHAN,N/A,"1,450.00",1
